Data on bloch at /zpool/data/colleen/CoMP_MRS_PRESS_waveforms,,,,,,,
Series,VoxPul1.Length,VoxPul1.Bandwidth,VoxPul1.Sharpness,VoxPul2.Length,VoxPul2.Bandwidth,VoxPul2.Sharpness,Comments
9,0.4,10500,3,0.85,4000,3,
10,1.1,7272.7,5,2.2,3272.7,5,sharpness and bandwidth/length are linked
11,0.825,7272.7,4,1.5583,3272.7,4,
12,0.5775,7272.7,3,1.0389,3272.7,3,did not run to completion
13,1.1,5454.5,4,2.2,2318.2,4,
14,1.1,3818.2,3,2.2,1545.5,3,
15,0.5775,7272.7,3,1.0389,3272.7,3,repeated E12. Ran to completion.
16,0.35,12000,3,0.81,4197.5,3,
21,0.77,5454.5,3,1.2,4250,4,
22,0.77,5454.5,3,0.8,4250,3,
23,0.77,5454.5,3,0.6,4250,2,
24,0.77,5454.5,3,2.4,2125,4,
25,0.77,5454.5,3,1.6,2125,3,
26,0.77,5454.5,3,1.2,2125,2,